study_hrs;study_hrs_group;study_stress;study_workload;study_eff_lect;study_eff_self;study_satis;leisure_hrs;leisure_sleep_hrs;leisure_sport_hrs;leisure_social_hrs;leisure_satis;
10;10;2;10;2;7;9;20;9;14;20;10;
12;4;7;2;5;9;6;6;5;7;8;7;
56;8;1;4;5;8;7;21;7;4;7;8;
9;1;6;3;7;9;8;2;7;3;0;6;
49;21;3;6;6;7;7;7;7;3;6;8;
42;7;5;4;5;4;7;70;6;15;70;7;
50;20;4;7;8;6;8;10;6;10;0;7;
20;3;3;3;6;10;7;25;7;4;21;9;
30;10;4;5;5;5;5;10;7;10;15;7;
65;5;8;9;7;9;7;14;35;3;15;6;
90;5;5;5;8;7;5;20;8;10;10;5;
36;4;3;4;7;9;5;5;7;3;24;5;
25;7;5;5;7;9;8;10;6;2;7;6;
30;7;5;10;7;8;5;15;6;0;40;7;
90;6;7;10;4;7;6;14;6;5;6;4;
75;20;6;6;7;6;7;30;6;5;6;7;
60;3;5;7;7;8;7;10;6;4;6;5;
30;5;6;6;6;5;5;5;7;8;8;8;
4;0;6;5;5;6;4;4;7;2;3;5;
24;0;5;5;7;10;9;13;7;6;48;10;
20;5;5;5;6;7;4;9;7;7;8;7;
45;15;8;7;8;5;1;8;5;8;8;1;
20;10;3;3;10;8;8;20;8;0;50;7;
10;9;7;7;7;7;7;7;7;7;7;7;
60;5;4;5;8;10;7;21;7;6;48;9;
14;0;5;6;3;7;8;20;7;3;5;8;
10;4;8;7;8;9;8;3;7;6;12;9;
24;5;4;5;4;8;7;20;6;10;5;6;
10;2;5;3;7;10;9;30;8;2;20;8;
11;9;9;9;2;9;2;21;8;2;11;9;
50;30;9;8;7;9;8;15;8;5;5;7;
44;0;3;7;8;4;5;9;7;2;0;8;
17;3;6;4;5;4;4;20;7;2;50;8;
45;20;7;8;6;7;7;2;7;2;1;6;
20;3;1;3;7;5;6;6;7;8;50;6;
20;5;3;2;3;9;7;28;6;8;6;8;
25;6;2;4;6;5;7;10;6;7;8;10;
21;14;6;7;7;8;7;35;6;14;14;7;
4;2;2;5;6;2;6;56;7;5;6;10;
48;0;9;7;6;9;7;10;6;3;24;8;
40;20;7;7;7;8;8;16;8;5;10;6;
36;20;3;2;7;5;7;14;6;12;12;6;
15;3;4;7;6;8;7;3;8;2;10;4;
25;10;7;7;7;8;8;15;6;4;8;8;
10;3;7;6;6;4;6;5;7;3;2;8;
84;2;1;7;5;10;7;2;7;10;5;10;
7;2;5;7;4;7;5;13;6;2;21;5;
27;1;6;9;5;6;5;3;8;3;8;5;
65;6;3;10;5;10;8;7;6;4;10;8;
3;10;5;6;3;8;6;30;6;3;15;8;
112;112;10;10;10;10;1;1;4;0;0;1;
30;5;4;5;3;6;5;1;8;5;2;7;
45;0;6;5;8;7;7;20;6;20;20;8;
30;0;2;2;9;10;10;30;9;7;20;10;
35;5;8;4;10;10;8;7;6;3;11;7;
25;7;5;5;7;10;5;40;4;20;15;10;
19;0;8;8;2;9;5;24;8;4;4;8;
4;2;4;7;5;8;6;1;5;1;2;6;
24;0;6;4;6;7;7;10;7;10;0;7;
20;6;6;6;6;6;8;5;8;5;6;8;
30;15;7;7;7;6;6;2;6;2;12;7;
19;5;6;5;7;8;8;21;8;10;22;9;
30;20;9;7;7;8;7;12;4;2;5;10;
50;2;6;7;7;3;3;20;7;10;5;4;
30;4;5;7;5;7;7;4;6;2;4;10;
40;4;5;5;7;7;7;14;6;2;2;6;
21;5;7;7;4;9;4;24;6;2;14;5;
10;2;3;4;7;8;8;6;8;6;9;8;
14;2;3;5;5;4;3;14;7;5;21;9;
9;5;6;6;7;8;8;12;7;6;20;8;
9;3;7;7;8;7;8;10;7;4;15;8;
30;6;3;5;4;10;7;30;3;4;10;1;
48;4;5;4;3;8;3;5;7;4;14;6;
5;;7;7;4;5;6;10;8;7;20;6;
84;4;4;5;7;10;9;2;7;1;2;4;
7;1;4;2;7;2;3;10;8;0;4;5;
2;3;6;6;6;6;7;24;8;1;10;7;
10;20;6;6;7;9;9;5;7;5;10;9;
56;6;10;8;6;9;7;6;8;1;4;7;
37;6;7;6;9;8;8;12;6;12;12;6;
20;5;6;5;6;8;8;10;7;4;4;9;
20;6;7;8;8;8;7;6;8;19;8;8;
32;2;8;5;6;5;7;30;8;14;21;5;
28;3;8;9;3;7;2;5;6;5;3;6;
;5;6;5;8;7;7;20;5;6;10;8;
21;6;7;5;10;6;9;4;7;6;30;1;
12;5;8;6;7;10;8;24;6;6;14;8;
5;3;1;1;1;1;1;14;7;10;2;10;
4;1;10;7;5;5;1;100;5;2;24;7;
21;2;8;7;5;6;4;20;8;5;11;3;
30;15;5;7;4;8;5;5;6;5;14;6;
15;4;6;4;7;6;6;16;6;10;3;8;
7;1;10;10;1;1;7;10;5;12;50;8;
60;20;8;9;6;3;3;4;6;5;8;4;
40;4;8;7;7;7;6;5;8;8;5;6;
2;7;3;3;8;10;8;7;7;1;2;6;
14;2;9;2;3;3;4;20;6;2;7;3;
44;3;3;7;8;10;10;1;8;7;12;8;
16;0;5;8;6;6;7;35;56;0;35;10;
15;4;9;9;6;8;7;5;6;2;2;6;
64;5;8;8;7;8;7;14;7;0;12;7;
20;0;1;5;3;5;7;12;8;1;2;8;
14;3;2;3;1;10;8;28;8;14;7;9;
69;48;9;5;8;9;9;10;7;7;5;7;
4;0;5;5;3;5;4;10;7;7;3;5;
1;2;1;2;3;9;10;50;8;1;5;10;
84;4;6;9;7;10;9;3;8;3;10;8;
10;2;4;7;9;10;4;0;6;0;10;8;
56;56;10;5;4;10;4;10;7;0;5;2;
40;40;5;7;3;7;6;10;6;0;1;8;
56;9;3;4;8;5;7;9;7;9;10;4;
40;2;7;6;2;8;7;7;6;7;14;6;
30;15;6;7;7;8;7;12;6;6;12;7;
26;1;10;9;4;8;8;8;5;4;15;7;
5;1;6;5;4;8;8;6;7;1;5;8;
35;5;7;7;3;8;7;21;6;2;12;7;
21;1;1;1;3;10;3;10;6;5;4;2;
50;20;1;6;5;10;10;25;6;6;4;7;
5;3;7;6;6;5;6;3;6;3;5;6;
35;7;7;6;8;8;8;7;6;2;7;7;
10;3;4;3;4;8;4;10;5;7;10;10;
5;1;3;4;3;3;2;5;1;3;4;1;
10;10;3;4;3;8;7;12;7;6;6;9;
12;4;4;7;5;4;5;20;6;1;14;5;
40;5;8;4;7;10;9;20;6;10;50;8;
5;8;8;7;5;8;4;3;6;1;7;7;
10;8;5;6;4;8;8;3;8;3;10;10;
16;4;10;10;6;10;5;40;7;20;48;10;
28;17;8;9;7;8;6;20;5;4;21;8;
21;;5;7;9;8;8;4;8;2;;7;
14;4;8;7;6;8;7;6;7;6;8;8;
21;15;6;6;5;9;8;15;7;10;10;8;
40;7;5;5;5;5;7;14;56;14;14;5;
10;5;8;8;8;8;8;5;6;3;8;8;
28;12;5;5;6;6;6;12;6;7;12;7;
10;5;4;5;6;10;10;15;8;2;20;6;
2;2;2;2;2;2;2;1;8;16;;5;
21;3;5;7;8;8;10;10;8;6;24;5;
56;10;6;3;8;5;9;21;6;7;5;4;
2;1;1;2;7;5;10;50;6;1;2;10;
35;6;7;8;5;9;9;21;8;0;30;8;
18;0;6;5;6;4;3;20;8;4;12;8;
2;0;5;2;5;7;1;2;7;4;6;5;
9;9;6;6;6;6;6;2;6;1;3;6;
25;25;10;10;10;10;10;25;25;25;25;10;
30;0;6;5;7;10;6;40;6;2;26;6;
20;4;5;5;8;8;6;10;7;10;15;10;
60;12;9;9;6;8;7;10;6;2;5;6;
50;21;5;5;5;6;5;20;6;20;10;5;
21;42;5;7;5;7;5;35;6;10;49;5;
2;3;4;3;9;7;4;24;8;3;5;4;
60;0;10;10;5;5;5;48;3;12;15;5;
77;14;7;7;6;9;4;;6;0;6;9;
77;12;7;7;8;9;3;7;6;0;6;7;
35;7;6;6;7;8;5;21;6;0;2;7;
10;6;1;5;7;9;8;10;6;2;10;8;
9;7;7;7;5;9;7;30;7;2;3;7;
16;5;8;9;7;7;3;16;5;5;48;5;
10;3;6;6;5;4;6;4;5;3;5;7;
;72;3;9;5;7;7;12;8;24;50;8;
;;5;5;8;8;8;;7;;;7;
48;2;7;5;8;5;7;38;6;2;;7;
24;0;5;5;5;5;5;30;42;14;35;6;
6;3;5;5;5;5;5;6;7;2;6;6;
10;10;8;7;4;8;7;20;8;5;10;7;
14;4;6;5;5;5;5;5;7;3;2;7;
7;4;5;3;5;8;3;14;8;2;12;3;
;4;5;5;5;8;7;;6;;4;8;
7;3;6;6;4;8;6;4;6;1;4;6;
15;4;2;2;8;6;9;30;7;3;2;8;
40;10;7;8;7;1;6;10;6;10;15;7;
